road_102137	adjacent	road_102134
road_101301	adjacent	road_92900
road_112728	has_2	food_services
road_94163	adjacent	road_102120
road_90222	adjacent	road_90224
road_90222	has_1	public_service
road_94163	adjacent	road_94164
road_92241	adjacent	road_103764
road_95969	adjacent	road_95968
road_95505	adjacent	road_95501
road_102120	adjacent	road_111969
road_95936	has_1	transport_infrastructure
road_92241	has_7	others
road_102138	weather	clear
road_111370	weather	clear
road_92696	weather	clear
road_102121	adjacent	road_101301
road_93851	adjacent	road_93852
road_94162	weather	clear
road_92881	adjacent	road_92899
road_96484	adjacent	road_96475
road_92690	adjacent	road_92689
road_94159	adjacent	road_98669
road_92900	adjacent	road_90218
road_90225	adjacent	road_90224
road_92877	adjacent	road_92883
road_95570	adjacent	road_95599
road_116097	adjacent	road_116098
road_92691	adjacent	road_92693
road_90222	adjacent	road_116097
road_95070	adjacent	road_90221
road_102121	adjacent	road_92900
road_95936	adjacent	road_95935
road_95506	adjacent	road_95502
road_112103	adjacent	road_112102
road_99882	weather	clear
road_99907	adjacent	road_99903
road_101301	adjacent	road_101302
road_111370	has_1	medical_service
road_101297	weather	clear
road_111370	has_2	food_services
road_93220	adjacent	road_116219
road_92697	adjacent	road_99881
road_102137	adjacent	road_117189
road_98671	adjacent	road_95970
road_99953	has_6	public_service
road_112141	adjacent	road_112142
road_102129	adjacent	road_96761
road_99882	adjacent	road_111973
road_92237	adjacent	road_102138
road_103351	adjacent	road_112101
road_95915	has_2	shopping_mall
road_101301	adjacent	road_102121
road_102121	adjacent	road_92883
road_93852	has_1	food_services
road_99953	weather	clear
road_103764	adjacent	road_103763
road_112102	weather	clear
road_101304	adjacent	road_101306
road_92876	adjacent	road_92881
road_111973	adjacent	road_111974
road_116098	adjacent	road_116099
road_92231	weather	clear
road_95598	adjacent	road_95503
road_95507	weather	clear
road_92876	adjacent	road_92878
road_101302	adjacent	road_101305
road_111380	has_6	public_service
road_95915	adjacent	road_99910
road_95969	adjacent	road_116098
road_104638	has_1	shopping_mall
road_95068	adjacent	road_94164
road_95070	adjacent	road_103765
road_92858	has_10	company
road_111974	has_3	others
road_99910	has_1	transport_infrastructure
road_102137	adjacent	road_102138
road_95506	adjacent	road_95508
road_99909	adjacent	road_99910
road_95504	adjacent	road_95505
road_96485	adjacent	road_96478
road_92694	has_2	accommodation
road_95975	has_1	public_service
road_95503	weather	clear
road_96486	weather	clear
road_95571	weather	clear
road_101303	weather	clear
